StationID,EohaustoriusCategory,EohaustoriusScore,MytilusCategory,MytilusScore,IntegratedToxLOE,IntegratedToxScore,TargetLatitude,TargetLongitude,B13_Stratum,CompressedStratum,Region,AW_Apod_Tox,AW_Mussel_Tox
B13-8292,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.64682,-117.88411,Estuaries,Estuaries,Upper Newport Bay,0.327591474,0.327591474
B13-8295,Nontoxic,1,Moderate Toxicity,3,Low Toxicity,2,33.686496,-118.03631,Estuaries,Estuaries,Bolsa Chica Lagoon,0.327591474,0.327591474
B13-8298,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.697397,-118.040563,Estuaries,Estuaries,Bolsa Chica Lagoon,0.327591474,0.327591474
B13-8301,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.710285,-118.059572,Estuaries,Estuaries,Bolsa Bay,0.327591474,0.327591474
B13-8328,Nontoxic,1,Low Toxicity,2,Low Toxicity,2,33.730877,-118.081677,Estuaries,Estuaries,Seal Beach,0.327591474,0.327591474
B13-8353,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.74202,-118.11713,Estuaries,Estuaries,San Gabriel River Estuary,0.327591474,0.327591474
B13-8378,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.75299,-118.10511,Estuaries,Estuaries,San Gabriel River,0.327591474,0.327591474
B13-8390,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.761013,-118.202111,Estuaries,Estuaries,Los Angeles River,0.327591474,0.327591474
B13-8391,High Toxicity,4,High Toxicity,4,High Toxicity,4,33.762562,-118.204966,Estuaries,Estuaries,Los Angeles River,0.327591474,0.327591474
B13-8394,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.76578,-118.10355,Estuaries,Estuaries,Los Alamitos Estuary,0.327591474,0.327591474
B13-8403,High Toxicity,4,High Toxicity,4,High Toxicity,4,33.78073,-118.20585,Estuaries,Estuaries,Los Angeles River,0.327591474,0.327591474
B13-8411,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.97134,-118.43959,Estuaries,Estuaries,Ballona Creek,0.327591474,0.327591474
B13-8419,Nontoxic,1,Nontoxic,1,Nontoxic,1,34.100784,-119.08739,Estuaries,Estuaries,Mugu Lagoon-south,0.327591474,0.327591474
B13-8421,Moderate Toxicity,3,Nontoxic,1,Low Toxicity,2,34.112698,-119.08406,Estuaries,Estuaries,Mugu Lagoon-south,0.327591474,0.327591474
B13-8073,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.680522,-117.175233,Marina,Marina,San Diego Bay,0.251141567,0.251141567
B13-8102,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,32.71138,-117.23213,Marina,Marina,San Diego Bay,0.251141567,0.251141567
B13-8106,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,32.712583,-117.23168,Marina,Marina,San Diego Bay,0.251141567,0.251141567
B13-8113,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,32.71683,-117.22429,Marina,Marina,San Diego Bay,0.251141567,0.251141567
B13-8116,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.7181,-117.23046,Marina,Marina,San Diego Bay,0.251141567,0.251141567
